evidence_id,case_id,transaction_id,order_id,normalized_category,reason_code,evidence_type,document_text,is_required,is_relevant,is_contradictory,evidence_strength_score,evidence_quality_score,ground_truth_rank,dataset_split
CB_IN_2026_00000_EV_10,CB_IN_2026_00000,TXN_796560443700,ORD_7486555480,ITEM_NOT_RECEIVED,1064,REFUND_POLICY,Merchant refund policy document.,False,False,False,0.3187,0.4132,0,validation
CB_IN_2026_00001_EV_00,CB_IN_2026_00001,TXN_494990595776,ORD_7401139853,ITEM_NOT_RECEIVED,4855,DELIVERY_TRACKING,Courier tracking record for order ORD_7401139853 confirms dispatch and transit.,True,True,False,0.8744,0.8894,1,test
CB_IN_2026_00001_EV_01,CB_IN_2026_00001,TXN_494990595776,ORD_7401139853,ITEM_NOT_RECEIVED,4855,PROOF_OF_DELIVERY,Carrier proof of delivery confirmation generated for order ORD_7401139853.,True,True,False,0.953,1.0,1,test
CB_IN_2026_00001_EV_02,CB_IN_2026_00001,TXN_494990595776,ORD_7401139853,ITEM_NOT_RECEIVED,4855,DELIVERY_OTP,Delivery OTP verified at destination for order ORD_7401139853.,False,True,False,0.8868,0.9136,2,test
CB_IN_2026_00001_EV_03,CB_IN_2026_00001,TXN_494990595776,ORD_7401139853,ITEM_NOT_RECEIVED,4855,ORDER_CONFIRMATION,Order ORD_7401139853 confirmed and receipt dispatched to registered email. Total: INR 2177.63.,False,True,False,0.7476,0.8336,2,test
CB_IN_2026_00001_EV_04,CB_IN_2026_00001,TXN_494990595776,ORD_7401139853,ITEM_NOT_RECEIVED,4855,LOGIN_LOG,Customer account login activity authenticated before transaction TXN_494990595776.,False,False,False,0.3308,0.4215,0,test
CB_IN_2026_00001_EV_05,CB_IN_2026_00001,TXN_494990595776,ORD_7401139853,ITEM_NOT_RECEIVED,4855,REFUND_POLICY,Merchant refund policy document.,False,False,False,0.0772,0.0863,0,test
CB_IN_2026_00001_EV_06,CB_IN_2026_00001,TXN_494990595776,ORD_7401139853,ITEM_NOT_RECEIVED,4855,DEVICE_LOG,Device fingerprint and MAC recorded during transaction TXN_494990595776. Device history confirms previous account usage.,False,False,False,0.2546,0.2268,0,test
CB_IN_2026_00002_EV_00,CB_IN_2026_00002,TXN_872738127920,ORD_2824255279,FRAUD_UNAUTHORIZED,10.4,PAYMENT_AUTHORIZATION,Payment authorization successful for transaction TXN_872738127920. Auth Code: AUTH_127920. Amount: INR 6883.68.,True,True,False,0.9137,1.0,1,train
CB_IN_2026_00002_EV_01,CB_IN_2026_00002,TXN_872738127920,ORD_2824255279,FRAUD_UNAUTHORIZED,10.4,THREE_DS_AUTHENTICATION,3DS / OTP authentication successfully verified for transaction TXN_872738127920. ECI: 05 (Liability Shift Active).,True,True,False,0.8569,0.9128,1,train
CB_IN_2026_00002_EV_02,CB_IN_2026_00002,TXN_872738127920,ORD_2824255279,FRAUD_UNAUTHORIZED,10.4,ORDER_CONFIRMATION,Order ORD_2824255279 confirmed and receipt dispatched to registered email. Total: INR 6883.68.,False,True,False,0.7166,0.7676,2,train
CB_IN_2026_00002_EV_03,CB_IN_2026_00002,TXN_872738127920,ORD_2824255279,FRAUD_UNAUTHORIZED,10.4,CUSTOMER_COMMUNICATION,Customer communication logs regarding order ORD_2824255279 for chargeback reason code 10.4.,False,True,False,0.6936,0.7172,2,train
CB_IN_2026_00002_EV_04,CB_IN_2026_00002,TXN_872738127920,ORD_2824255279,FRAUD_UNAUTHORIZED,10.4,DELIVERY_TRACKING,Courier tracking record for order ORD_2824255279 confirms dispatch and transit.,False,False,False,0.0982,0.0612,0,train
CB_IN_2026_00002_EV_05,CB_IN_2026_00002,TXN_872738127920,ORD_2824255279,FRAUD_UNAUTHORIZED,10.4,REFUND_POLICY,Merchant refund policy document.,False,False,False,0.3911,0.4509,0,train
CB_IN_2026_00003_EV_00,CB_IN_2026_00003,TXN_727631226153,ORD_1329898556,RECON_SETTLEMENT_ERROR,1065,BANK_RRN_RECORD,Bank Reconciliation Reference Number (RRN) match confirmed by acquiring bank.,True,True,False,0.9249,0.9202,1,train
CB_IN_2026_00003_EV_01,CB_IN_2026_00003,TXN_727631226153,ORD_1329898556,RECON_SETTLEMENT_ERROR,1065,SETTLEMENT_RECORD,Settlement payout record available for transaction TXN_727631226153.,False,True,False,0.843,0.9211,2,train
CB_IN_2026_00003_EV_02,CB_IN_2026_00003,TXN_727631226153,ORD_1329898556,RECON_SETTLEMENT_ERROR,1065,TRANSACTION_RECEIPT,Itemized transaction receipt for TXN_727631226153. Amount: INR 184.65.,False,True,False,0.8116,0.6639,2,train
CB_IN_2026_00003_EV_03,CB_IN_2026_00003,TXN_727631226153,ORD_1329898556,RECON_SETTLEMENT_ERROR,1065,INTERNAL_SYSTEM_LOGS,Core banking API response logs for transaction TXN_727631226153.,False,True,False,0.5963,0.5593,2,train
CB_IN_2026_00003_EV_04,CB_IN_2026_00003,TXN_727631226153,ORD_1329898556,RECON_SETTLEMENT_ERROR,1065,CUSTOMER_COMMUNICATION,Customer communication logs regarding order ORD_1329898556 for chargeback reason code 1065.,False,False,False,0.2768,0.2751,0,train
CB_IN_2026_00003_EV_05,CB_IN_2026_00003,TXN_727631226153,ORD_1329898556,RECON_SETTLEMENT_ERROR,1065,RETURN_POLICY,Merchant return policy document.,False,False,False,0.1589,0.1377,0,train
CB_IN_2026_00003_EV_06,CB_IN_2026_00003,TXN_727631226153,ORD_1329898556,RECON_SETTLEMENT_ERROR,1065,PRODUCT_IMAGES,Product photos and QC inspector stamp stored for order ORD_1329898556.,False,False,False,0.1512,0.1947,0,train
CB_IN_2026_00004_EV_00,CB_IN_2026_00004,TXN_184759613098,ORD_3734195696,ITEM_NOT_RECEIVED,1064,DELIVERY_TRACKING,Courier tracking record for order ORD_3734195696 confirms dispatch and transit.,True,True,False,0.9578,0.9195,1,train
CB_IN_2026_00004_EV_01,CB_IN_2026_00004,TXN_184759613098,ORD_3734195696,ITEM_NOT_RECEIVED,1064,PROOF_OF_DELIVERY,Carrier proof of delivery confirmation generated for order ORD_3734195696.,True,True,False,0.8497,0.7641,1,train
CB_IN_2026_00004_EV_02,CB_IN_2026_00004,TXN_184759613098,ORD_3734195696,ITEM_NOT_RECEIVED,1064,DELIVERY_OTP,Delivery OTP verified at destination for order ORD_3734195696.,False,True,False,0.6634,0.5173,2,train
CB_IN_2026_00004_EV_03,CB_IN_2026_00004,TXN_184759613098,ORD_3734195696,ITEM_NOT_RECEIVED,1064,SIGNED_DELIVERY,Signed proof of delivery receipt on file for order ORD_3734195696.,False,True,False,0.778,0.7711,2,train
CB_IN_2026_00004_EV_04,CB_IN_2026_00004,TXN_184759613098,ORD_3734195696,ITEM_NOT_RECEIVED,1064,DEVICE_LOG,Device fingerprint and MAC recorded during transaction TXN_184759613098. Device history confirms previous account usage.,False,False,False,0.1289,0.2481,0,train
CB_IN_2026_00004_EV_05,CB_IN_2026_00004,TXN_184759613098,ORD_3734195696,ITEM_NOT_RECEIVED,1064,REFUND_POLICY,Merchant refund policy document.,False,False,False,0.2185,0.183,0,train
CB_IN_2026_00005_EV_00,CB_IN_2026_00005,TXN_978060116473,ORD_2414226743,SUBSCRIPTION_CANCELED,1062,CANCELLATION_RECORD,Customer subscription cancellation log and date timestamp.,True,True,False,0.7865,0.8394,1,train
CB_IN_2026_00005_EV_01,CB_IN_2026_00005,TXN_978060116473,ORD_2414226743,SUBSCRIPTION_CANCELED,1062,TERMS_ACCEPTANCE,Customer explicitly checked acceptance of subscription terms.,False,True,False,0.7938,0.8561,2,train
CB_IN_2026_00005_EV_02,CB_IN_2026_00005,TXN_978060116473,ORD_2414226743,SUBSCRIPTION_CANCELED,1062,PROOF_OF_DELIVERY,Carrier proof of delivery confirmation generated for order ORD_2414226743.,False,False,False,0.1061,0.1288,0,train
CB_IN_2026_00005_EV_03,CB_IN_2026_00005,TXN_978060116473,ORD_2414226743,SUBSCRIPTION_CANCELED,1062,PRODUCT_IMAGES,Product photos and QC inspector stamp stored for order ORD_2414226743.,False,False,False,0.2722,0.17,0,train
CB_IN_2026_00006_EV_00,CB_IN_2026_00006,TXN_785025731791,ORD_4562096312,FRAUD_UNAUTHORIZED,128,PAYMENT_AUTHORIZATION,Payment authorization successful for transaction TXN_785025731791. Auth Code: AUTH_731791. Amount: INR 559.74.,True,True,False,0.7842,0.8236,1,test
CB_IN_2026_00006_EV_01,CB_IN_2026_00006,TXN_785025731791,ORD_4562096312,FRAUD_UNAUTHORIZED,128,THREE_DS_AUTHENTICATION,3DS / OTP authentication successfully verified for transaction TXN_785025731791. ECI: 05 (Liability Shift Active).,True,True,False,0.7952,0.8829,1,test
CB_IN_2026_00006_EV_02,CB_IN_2026_00006,TXN_785025731791,ORD_4562096312,FRAUD_UNAUTHORIZED,128,CUSTOMER_COMMUNICATION,Customer communication logs regarding order ORD_4562096312 for chargeback reason code 128.,False,True,False,0.8585,0.8213,2,test
CB_IN_2026_00006_EV_03,CB_IN_2026_00006,TXN_785025731791,ORD_4562096312,FRAUD_UNAUTHORIZED,128,RETURN_POLICY,Merchant return policy document.,False,False,False,0.3263,0.1869,0,test
CB_IN_2026_00006_EV_04,CB_IN_2026_00006,TXN_785025731791,ORD_4562096312,FRAUD_UNAUTHORIZED,128,REFUND_POLICY,Merchant refund policy document.,False,False,False,0.2101,0.2926,0,test
CB_IN_2026_00007_EV_00,CB_IN_2026_00007,TXN_807457874749,ORD_9814115072,RECON_SETTLEMENT_ERROR,4808,BANK_RRN_RECORD,Bank Reconciliation Reference Number (RRN) match confirmed by acquiring bank.,True,True,False,0.8294,0.8907,1,validation
CB_IN_2026_00007_EV_01,CB_IN_2026_00007,TXN_807457874749,ORD_9814115072,RECON_SETTLEMENT_ERROR,4808,INTERNAL_SYSTEM_LOGS,Core banking API response logs for transaction TXN_807457874749.,False,True,False,0.7462,0.6907,2,validation
CB_IN_2026_00007_EV_02,CB_IN_2026_00007,TXN_807457874749,ORD_9814115072,RECON_SETTLEMENT_ERROR,4808,TRANSACTION_RECEIPT,Itemized transaction receipt for TXN_807457874749. Amount: INR 903.43.,False,True,False,0.8293,0.8787,2,validation
CB_IN_2026_00007_EV_03,CB_IN_2026_00007,TXN_807457874749,ORD_9814115072,RECON_SETTLEMENT_ERROR,4808,PAYMENT_AUTHORIZATION,Payment authorization successful for transaction TXN_807457874749. Auth Code: AUTH_874749. Amount: INR 903.43.,False,True,False,0.8946,1.0,2,validation
CB_IN_2026_00007_EV_04,CB_IN_2026_00007,TXN_807457874749,ORD_9814115072,RECON_SETTLEMENT_ERROR,4808,PRODUCT_IMAGES,Product photos and QC inspector stamp stored for order ORD_9814115072.,False,False,False,0.1153,0.0542,0,validation
CB_IN_2026_00007_EV_05,CB_IN_2026_00007,TXN_807457874749,ORD_9814115072,RECON_SETTLEMENT_ERROR,4808,RETURN_POLICY,Merchant return policy document.,False,False,False,0.3994,0.386,0,validation
CB_IN_2026_00008_EV_00,CB_IN_2026_00008,TXN_215302269407,ORD_2629642338,REFUND_NOT_RECEIVED,1061,REFUND_RECORD,Refund ARN processing record generated for transaction TXN_215302269407.,True,True,False,0.9309,0.8008,1,validation
CB_IN_2026_00008_EV_01,CB_IN_2026_00008,TXN_215302269407,ORD_2629642338,REFUND_NOT_RECEIVED,1061,CUSTOMER_COMMUNICATION,Customer communication logs regarding order ORD_2629642338 for chargeback reason code 1061.,False,True,False,0.7699,0.7873,2,validation
CB_IN_2026_00008_EV_02,CB_IN_2026_00008,TXN_215302269407,ORD_2629642338,REFUND_NOT_RECEIVED,1061,REFUND_POLICY,Merchant refund policy document.,False,True,False,0.7498,0.8713,2,validation
CB_IN_2026_00008_EV_03,CB_IN_2026_00008,TXN_215302269407,ORD_2629642338,REFUND_NOT_RECEIVED,1061,DEVICE_LOG,Device fingerprint and MAC recorded during transaction TXN_215302269407. Device history confirms previous account usage.,False,False,False,0.2636,0.2201,0,validation
CB_IN_2026_00008_EV_04,CB_IN_2026_00008,TXN_215302269407,ORD_2629642338,REFUND_NOT_RECEIVED,1061,PRODUCT_IMAGES,Product photos and QC inspector stamp stored for order ORD_2629642338.,False,False,False,0.0866,0.162,0,validation
CB_IN_2026_00009_EV_00,CB_IN_2026_00009,TXN_505347344106,ORD_3869865490,REFUND_NOT_RECEIVED,13.6,REFUND_RECORD,Refund ARN processing record generated for transaction TXN_505347344106.,True,True,False,0.84,0.8724,1,train
CB_IN_2026_00009_EV_01,CB_IN_2026_00009,TXN_505347344106,ORD_3869865490,REFUND_NOT_RECEIVED,13.6,CANCELLATION_RECORD,Customer subscription cancellation log and date timestamp.,False,True,False,0.6997,0.7406,2,train
CB_IN_2026_00009_EV_02,CB_IN_2026_00009,TXN_505347344106,ORD_3869865490,REFUND_NOT_RECEIVED,13.6,DELIVERY_TRACKING,Courier tracking record for order ORD_3869865490 confirms dispatch and transit.,False,False,False,0.1425,0.225,0,train
CB_IN_2026_00009_EV_03,CB_IN_2026_00009,TXN_505347344106,ORD_3869865490,REFUND_NOT_RECEIVED,13.6,DEVICE_LOG,Device fingerprint and MAC recorded during transaction TXN_505347344106. Device history confirms previous account usage.,False,False,False,0.1523,0.0415,0,train
CB_IN_2026_00009_EV_04,CB_IN_2026_00009,TXN_505347344106,ORD_3869865490,REFUND_NOT_RECEIVED,13.6,PRODUCT_IMAGES,Product photos and QC inspector stamp stored for order ORD_3869865490.,False,False,False,0.2439,0.1914,0,train
CB_IN_2026_00010_EV_00,CB_IN_2026_00010,TXN_433718221809,ORD_7526028846,SUBSCRIPTION_CANCELED,1062,CANCELLATION_RECORD,Customer subscription cancellation log and date timestamp.,True,True,True,0.907,0.8876,1,train
CB_IN_2026_00010_EV_01,CB_IN_2026_00010,TXN_433718221809,ORD_7526028846,SUBSCRIPTION_CANCELED,1062,TERMS_ACCEPTANCE,Customer explicitly checked acceptance of subscription terms.,False,True,False,0.8543,0.8625,2,train
CB_IN_2026_00010_EV_02,CB_IN_2026_00010,TXN_433718221809,ORD_7526028846,SUBSCRIPTION_CANCELED,1062,SUBSCRIPTION_USAGE_LOG,Active digital subscription stream/download log post-billing.,False,True,False,0.7131,0.5131,2,train
CB_IN_2026_00010_EV_03,CB_IN_2026_00010,TXN_433718221809,ORD_7526028846,SUBSCRIPTION_CANCELED,1062,CUSTOMER_COMMUNICATION,Customer communication logs regarding order ORD_7526028846 for chargeback reason code 1062.,False,True,False,0.8749,0.876,2,train
CB_IN_2026_00010_EV_04,CB_IN_2026_00010,TXN_433718221809,ORD_7526028846,SUBSCRIPTION_CANCELED,1062,PAYMENT_AUTHORIZATION,Payment authorization successful for transaction TXN_433718221809. Auth Code: AUTH_221809. Amount: INR 203.77.,False,True,False,0.6193,0.4117,2,train
CB_IN_2026_00010_EV_05,CB_IN_2026_00010,TXN_433718221809,ORD_7526028846,SUBSCRIPTION_CANCELED,1062,PRODUCT_IMAGES,Product photos and QC inspector stamp stored for order ORD_7526028846.,False,False,False,0.074,0.0966,0,train
CB_IN_2026_00010_EV_06,CB_IN_2026_00010,TXN_433718221809,ORD_7526028846,SUBSCRIPTION_CANCELED,1062,PROOF_OF_DELIVERY,Carrier proof of delivery confirmation generated for order ORD_7526028846.,False,False,False,0.088,0.1194,0,train
CB_IN_2026_00010_EV_07,CB_IN_2026_00010,TXN_433718221809,ORD_7526028846,SUBSCRIPTION_CANCELED,1062,DELIVERY_TRACKING,Courier tracking record for order ORD_7526028846 confirms dispatch and transit.,False,False,False,0.2488,0.3145,0,train
CB_IN_2026_00011_EV_00,CB_IN_2026_00011,TXN_934088489963,ORD_5582645045,REFUND_NOT_RECEIVED,C08,REFUND_RECORD,Refund ARN processing record generated for transaction TXN_934088489963.,True,True,False,0.7695,0.7361,1,train
CB_IN_2026_00011_EV_01,CB_IN_2026_00011,TXN_934088489963,ORD_5582645045,REFUND_NOT_RECEIVED,C08,CUSTOMER_COMMUNICATION,Customer communication logs regarding order ORD_5582645045 for chargeback reason code C08.,False,True,False,0.6851,0.6327,2,train
CB_IN_2026_00011_EV_02,CB_IN_2026_00011,TXN_934088489963,ORD_5582645045,REFUND_NOT_RECEIVED,C08,BANK_RRN_RECORD,Bank Reconciliation Reference Number (RRN) match confirmed by acquiring bank.,False,True,False,0.6161,0.5598,2,train
CB_IN_2026_00011_EV_03,CB_IN_2026_00011,TXN_934088489963,ORD_5582645045,REFUND_NOT_RECEIVED,C08,TRANSACTION_RECEIPT,Itemized transaction receipt for TXN_934088489963. Amount: INR 484.57.,False,True,False,0.7961,0.6515,2,train
CB_IN_2026_00011_EV_04,CB_IN_2026_00011,TXN_934088489963,ORD_5582645045,REFUND_NOT_RECEIVED,C08,CANCELLATION_RECORD,Customer subscription cancellation log and date timestamp.,False,True,False,0.7795,0.8265,2,train
CB_IN_2026_00011_EV_05,CB_IN_2026_00011,TXN_934088489963,ORD_5582645045,REFUND_NOT_RECEIVED,C08,REFUND_POLICY,Merchant refund policy document.,False,True,False,0.846,0.7551,2,train
CB_IN_2026_00011_EV_06,CB_IN_2026_00011,TXN_934088489963,ORD_5582645045,REFUND_NOT_RECEIVED,C08,DELIVERY_TRACKING,Courier tracking record for order ORD_5582645045 confirms dispatch and transit.,False,False,False,0.0602,0.1724,0,train
CB_IN_2026_00011_EV_07,CB_IN_2026_00011,TXN_934088489963,ORD_5582645045,REFUND_NOT_RECEIVED,C08,DEVICE_LOG,Device fingerprint and MAC recorded during transaction TXN_934088489963. Device history confirms previous account usage.,False,False,False,0.2055,0.2703,0,train
CB_IN_2026_00012_EV_00,CB_IN_2026_00012,TXN_679478608072,ORD_1395353292,SERVICE_NOT_PROVIDED,13.1,SERVICE_COMPLETION_PROOF,Service completion sign-off record available for order ORD_1395353292.,True,True,False,0.7602,0.8181,1,train
CB_IN_2026_00012_EV_01,CB_IN_2026_00012,TXN_679478608072,ORD_1395353292,SERVICE_NOT_PROVIDED,13.1,TERMS_ACCEPTANCE,Customer explicitly checked acceptance of subscription terms.,False,True,False,0.6004,0.5626,2,train
CB_IN_2026_00012_EV_02,CB_IN_2026_00012,TXN_679478608072,ORD_1395353292,SERVICE_NOT_PROVIDED,13.1,ACCOUNT_USAGE_LOG,Post-activation digital service access and usage logs.,False,True,False,0.584,0.5929,2,train
CB_IN_2026_00012_EV_03,CB_IN_2026_00012,TXN_679478608072,ORD_1395353292,SERVICE_NOT_PROVIDED,13.1,INVOICE,Tax Invoice generated for order ORD_1395353292 with price breakdown. Total: INR 6985.54.,False,True,False,0.8302,0.9771,2,train
CB_IN_2026_00012_EV_04,CB_IN_2026_00012,TXN_679478608072,ORD_1395353292,SERVICE_NOT_PROVIDED,13.1,CONTRACT,Executed service contract linked to order ORD_1395353292.,False,True,False,0.8901,0.893,2,train
CB_IN_2026_00012_EV_05,CB_IN_2026_00012,TXN_679478608072,ORD_1395353292,SERVICE_NOT_PROVIDED,13.1,DEVICE_LOG,Device fingerprint and MAC recorded during transaction TXN_679478608072. Device history confirms previous account usage.,False,False,False,0.0604,0.0,0,train
CB_IN_2026_00012_EV_06,CB_IN_2026_00012,TXN_679478608072,ORD_1395353292,SERVICE_NOT_PROVIDED,13.1,DELIVERY_TRACKING,Courier tracking record for order ORD_1395353292 confirms dispatch and transit.,False,False,False,0.1394,0.1014,0,train
CB_IN_2026_00013_EV_00,CB_IN_2026_00013,TXN_840485451943,ORD_2455210163,ITEM_NOT_RECEIVED,1064,DELIVERY_TRACKING,Courier tracking record for order ORD_2455210163 confirms dispatch and transit.,True,True,False,0.7697,0.6963,1,train
CB_IN_2026_00013_EV_01,CB_IN_2026_00013,TXN_840485451943,ORD_2455210163,ITEM_NOT_RECEIVED,1064,PROOF_OF_DELIVERY,Carrier proof of delivery confirmation generated for order ORD_2455210163.,True,True,True,0.7947,0.8163,1,train
CB_IN_2026_00013_EV_02,CB_IN_2026_00013,TXN_840485451943,ORD_2455210163,ITEM_NOT_RECEIVED,1064,TERMS_AND_CONDITIONS,Merchant terms of service and fulfillment policy accepted at checkout.,False,True,False,0.558,0.6498,2,train
CB_IN_2026_00013_EV_03,CB_IN_2026_00013,TXN_840485451943,ORD_2455210163,ITEM_NOT_RECEIVED,1064,SIGNED_DELIVERY,Signed proof of delivery receipt on file for order ORD_2455210163.,False,True,False,0.6111,0.5448,2,train
CB_IN_2026_00013_EV_04,CB_IN_2026_00013,TXN_840485451943,ORD_2455210163,ITEM_NOT_RECEIVED,1064,REFUND_POLICY,Merchant refund policy document.,False,False,False,0.3787,0.445,0,train
CB_IN_2026_00013_EV_05,CB_IN_2026_00013,TXN_840485451943,ORD_2455210163,ITEM_NOT_RECEIVED,1064,DEVICE_LOG,Device fingerprint and MAC recorded during transaction TXN_840485451943. Device history confirms previous account usage.,False,False,False,0.1274,0.1082,0,train
CB_IN_2026_00013_EV_06,CB_IN_2026_00013,TXN_840485451943,ORD_2455210163,ITEM_NOT_RECEIVED,1064,LOGIN_LOG,Customer account login activity authenticated before transaction TXN_840485451943.,False,False,False,0.362,0.2987,0,train
CB_IN_2026_00014_EV_00,CB_IN_2026_00014,TXN_499072778944,ORD_9417245992,NOT_AS_DESCRIBED,1062,ORDER_CONFIRMATION,Order ORD_9417245992 confirmed and receipt dispatched to registered email. Total: INR 367.61.,True,True,False,0.9718,0.9597,1,train
CB_IN_2026_00014_EV_01,CB_IN_2026_00014,TXN_499072778944,ORD_9417245992,NOT_AS_DESCRIBED,1062,PRODUCT_DESCRIPTION,Product specifications and terms displayed during purchase.,True,True,False,0.8455,0.7881,1,train
CB_IN_2026_00014_EV_02,CB_IN_2026_00014,TXN_499072778944,ORD_9417245992,NOT_AS_DESCRIBED,1062,RETURN_RECORD,Return request status and merchant return processing log.,False,True,False,0.6493,0.6273,2,train
CB_IN_2026_00014_EV_03,CB_IN_2026_00014,TXN_499072778944,ORD_9417245992,NOT_AS_DESCRIBED,1062,THREE_DS_AUTHENTICATION,3DS / OTP authentication successfully verified for transaction TXN_499072778944. ECI: 05 (Liability Shift Active).,False,False,False,0.2178,0.2367,0,train
CB_IN_2026_00014_EV_04,CB_IN_2026_00014,TXN_499072778944,ORD_9417245992,NOT_AS_DESCRIBED,1062,DEVICE_LOG,Device fingerprint and MAC recorded during transaction TXN_499072778944. Device history confirms previous account usage.,False,False,False,0.3943,0.33,0,train
CB_IN_2026_00015_EV_00,CB_IN_2026_00015,TXN_304514849606,ORD_1928484934,FRAUD_UNAUTHORIZED,128,PAYMENT_AUTHORIZATION,Payment authorization successful for transaction TXN_304514849606. Auth Code: AUTH_849606. Amount: INR 2999.40.,True,True,False,0.878,0.8959,1,test
CB_IN_2026_00015_EV_01,CB_IN_2026_00015,TXN_304514849606,ORD_1928484934,FRAUD_UNAUTHORIZED,128,THREE_DS_AUTHENTICATION,3DS / OTP authentication successfully verified for transaction TXN_304514849606. ECI: 05 (Liability Shift Active).,True,True,False,0.8048,0.8313,1,test
CB_IN_2026_00015_EV_02,CB_IN_2026_00015,TXN_304514849606,ORD_1928484934,FRAUD_UNAUTHORIZED,128,PRIOR_UNDISPUTED_TRANSACTION,Customer completed prior undisputed transaction on same device and card.,False,True,False,0.73,0.6826,2,test
CB_IN_2026_00015_EV_03,CB_IN_2026_00015,TXN_304514849606,ORD_1928484934,FRAUD_UNAUTHORIZED,128,LOGIN_LOG,Customer account login activity authenticated before transaction TXN_304514849606.,False,True,False,0.7067,0.7522,2,test
CB_IN_2026_00015_EV_04,CB_IN_2026_00015,TXN_304514849606,ORD_1928484934,FRAUD_UNAUTHORIZED,128,AVS_CVV_VERIFICATION,CVV2 match successful (Match code M) and AVS zip code verified for transaction TXN_304514849606.,False,True,False,0.6349,0.4994,2,test
CB_IN_2026_00015_EV_05,CB_IN_2026_00015,TXN_304514849606,ORD_1928484934,FRAUD_UNAUTHORIZED,128,CUSTOMER_COMMUNICATION,Customer communication logs regarding order ORD_1928484934 for chargeback reason code 128.,False,True,False,0.7391,0.6286,2,test
CB_IN_2026_00015_EV_06,CB_IN_2026_00015,TXN_304514849606,ORD_1928484934,FRAUD_UNAUTHORIZED,128,REFUND_POLICY,Merchant refund policy document.,False,False,False,0.2385,0.2109,0,test
CB_IN_2026_00015_EV_07,CB_IN_2026_00015,TXN_304514849606,ORD_1928484934,FRAUD_UNAUTHORIZED,128,RETURN_POLICY,Merchant return policy document.,False,False,False,0.0974,0.0587,0,test
CB_IN_2026_00015_EV_08,CB_IN_2026_00015,TXN_304514849606,ORD_1928484934,FRAUD_UNAUTHORIZED,128,DELIVERY_TRACKING,Courier tracking record for order ORD_1928484934 confirms dispatch and transit.,False,False,False,0.3569,0.3701,0,test
CB_IN_2026_00015_EV_09,CB_IN_2026_00015,TXN_304514849606,ORD_1928484934,FRAUD_UNAUTHORIZED,128,SERVICE_COMPLETION_PROOF,Service completion sign-off record available for order ORD_1928484934.,False,False,False,0.2406,0.1288,0,test
