case_id,transaction_id,order_id,payment_rail,network,normalized_category,dispute_amount_inr,currency,country,transaction_date,filing_delay_days,dispute_filed_date,is_tokenized,otp_entry_duration_sec,previous_successful_orders,previous_refunds,previous_chargebacks,total_evidence,relevant_evidence_count,required_evidence_count,contradictory_evidence_count,merchant_representment_won,bank_rrn_match,delivery_otp_verified,ip_geo_match,sim_swap_flag_48h,transaction_record_match,post_dispute_activity,representment_fee_inr,false_positive_cost_inr,false_negative_cost_inr,dataset_split
CB_IN_2026_00035,TXN_270524223175,ORD_9477007538,CARD,VISA,ITEM_NOT_RECEIVED,529.54,INR,IN,2026-01-04,10,2026-01-14,False,23,0,0,0,9,6,2,0,0,True,False,True,False,True,False,1200,1700,529.54,train
CB_IN_2026_04933,TXN_325818665987,ORD_1856902338,CARD,RUPAY,ITEM_NOT_RECEIVED,137.34,INR,IN,2026-01-01,13,2026-01-14,False,4,2,1,0,5,3,2,0,1,True,False,True,False,True,True,300,800,137.34,train
CB_IN_2026_02712,TXN_324703341040,ORD_6908408545,UPI,UPI_NPCI,RECON_SETTLEMENT_ERROR,1554.54,INR,IN,2026-01-09,5,2026-01-14,True,40,3,1,0,6,4,1,0,1,True,True,True,False,False,False,300,800,1554.54,train
CB_IN_2026_07747,TXN_680154427111,ORD_7641455543,CARD,VISA,FRAUD_UNAUTHORIZED,13927.08,INR,IN,2026-01-09,5,2026-01-14,False,31,0,0,0,8,4,2,0,0,True,False,False,False,True,False,1200,1700,13927.08,train
CB_IN_2026_07755,TXN_918100181883,ORD_8004015321,CARD,VISA,ITEM_NOT_RECEIVED,294.87,INR,IN,2026-01-10,4,2026-01-14,True,28,7,2,0,10,7,2,0,0,True,False,True,False,True,False,1200,1700,294.87,train
CB_IN_2026_09555,TXN_118484482625,ORD_3099288256,CARD,VISA,NOT_AS_DESCRIBED,6628.58,INR,IN,2026-01-13,1,2026-01-14,True,42,0,0,0,6,3,2,0,0,True,True,False,False,True,False,1200,1700,6628.58,train
CB_IN_2026_03125,TXN_273706782542,ORD_2786487512,CARD,RUPAY,FRAUD_UNAUTHORIZED,1453.78,INR,IN,2026-01-01,13,2026-01-14,True,8,0,0,0,9,5,2,0,0,True,True,False,False,False,True,300,800,1453.78,train
CB_IN_2026_08911,TXN_550648965137,ORD_4094833936,CARD,VISA,NOT_AS_DESCRIBED,389.32,INR,IN,2026-01-07,7,2026-01-14,True,30,6,1,0,7,5,2,0,0,True,False,True,False,True,False,1200,1700,389.32,train
CB_IN_2026_04002,TXN_866681070171,ORD_7094310856,CARD,VISA,RECON_SETTLEMENT_ERROR,1654.54,INR,IN,2026-01-02,13,2026-01-15,False,43,4,0,2,4,2,1,0,1,True,True,True,False,True,False,1200,1700,1654.54,train
CB_IN_2026_09696,TXN_518451835323,ORD_7019034386,UPI,UPI_NPCI,RECON_SETTLEMENT_ERROR,238.61,INR,IN,2026-01-10,5,2026-01-15,False,21,7,0,0,4,2,1,0,0,True,False,True,False,True,False,300,800,238.61,train
CB_IN_2026_07921,TXN_454848282250,ORD_9351954116,CARD,VISA,SERVICE_NOT_PROVIDED,2035.27,INR,IN,2026-01-11,4,2026-01-15,True,36,4,0,0,9,6,1,0,1,True,False,False,False,True,True,1200,1700,2035.27,train
CB_IN_2026_06786,TXN_507723502857,ORD_4090171106,CARD,MASTERCARD,ITEM_NOT_RECEIVED,2067.19,INR,IN,2026-01-10,5,2026-01-15,True,32,5,0,0,9,7,2,0,1,True,True,True,True,True,False,1200,1700,2067.19,train
CB_IN_2026_02625,TXN_480245575526,ORD_6254393530,CARD,AMERICAN_EXPRESS,FRAUD_UNAUTHORIZED,3325.77,INR,IN,2026-01-12,3,2026-01-15,True,20,1,0,0,10,7,2,0,0,False,True,False,False,True,False,1200,1700,3325.77,train
CB_IN_2026_02875,TXN_295114731158,ORD_4569926969,CARD,RUPAY,ITEM_NOT_RECEIVED,1432.04,INR,IN,2026-01-08,7,2026-01-15,True,33,3,2,0,5,3,2,0,0,True,False,True,False,True,True,300,800,1432.04,train
CB_IN_2026_05470,TXN_669314097807,ORD_3007457039,CARD,RUPAY,FRAUD_UNAUTHORIZED,2613.47,INR,IN,2026-01-05,10,2026-01-15,True,43,4,0,0,9,5,2,1,1,True,True,True,False,True,False,300,800,2613.47,train
CB_IN_2026_04504,TXN_217580730423,ORD_6592342697,CARD,RUPAY,FRAUD_UNAUTHORIZED,6180.88,INR,IN,2026-01-13,2,2026-01-15,True,39,0,0,0,9,7,2,0,1,False,False,False,False,True,False,300,800,6180.88,train
CB_IN_2026_02094,TXN_910082150329,ORD_5459687669,UPI,UPI_NPCI,RECON_SETTLEMENT_ERROR,89.71,INR,IN,2026-01-10,5,2026-01-15,False,25,5,1,0,5,3,1,0,1,True,True,True,False,False,True,300,800,89.71,train
CB_IN_2026_01578,TXN_995341792258,ORD_6979458451,CARD,RUPAY,RECON_SETTLEMENT_ERROR,106.49,INR,IN,2026-01-11,4,2026-01-15,True,19,8,0,0,6,4,1,0,1,True,False,False,False,False,True,300,800,106.49,train
CB_IN_2026_07056,TXN_871057648091,ORD_8452915822,CARD,VISA,ITEM_NOT_RECEIVED,1903.69,INR,IN,2026-01-09,7,2026-01-16,True,10,6,0,0,6,4,2,0,0,True,False,True,False,True,False,1200,1700,1903.69,train
CB_IN_2026_07525,TXN_307190222901,ORD_4629922028,CARD,RUPAY,NOT_AS_DESCRIBED,1699.94,INR,IN,2026-01-01,15,2026-01-16,True,17,4,1,0,10,7,2,0,1,True,False,True,False,True,False,300,800,1699.94,train
CB_IN_2026_09821,TXN_920841218424,ORD_2536152686,CARD,VISA,ITEM_NOT_RECEIVED,815.22,INR,IN,2026-01-03,13,2026-01-16,True,6,4,0,0,7,5,2,0,0,True,False,False,False,True,True,1200,1700,815.22,train
CB_IN_2026_05297,TXN_317269059661,ORD_2765982686,CARD,RUPAY,FRAUD_UNAUTHORIZED,1994.77,INR,IN,2026-01-05,11,2026-01-16,True,21,0,1,0,11,7,2,0,0,True,True,False,False,False,True,300,800,1994.77,train
CB_IN_2026_01263,TXN_953780948841,ORD_3581555695,CARD,RUPAY,ITEM_NOT_RECEIVED,1183.52,INR,IN,2026-01-11,5,2026-01-16,True,1,4,2,0,7,5,2,0,1,True,True,False,False,True,True,300,800,1183.52,train
CB_IN_2026_05502,TXN_201444459695,ORD_4749620161,UPI,UPI_NPCI,ITEM_NOT_RECEIVED,843.09,INR,IN,2026-01-04,12,2026-01-16,False,4,2,0,0,7,4,2,0,0,True,False,True,False,True,False,300,800,843.09,train
CB_IN_2026_01360,TXN_701497666715,ORD_8427489057,CARD,MASTERCARD,REFUND_NOT_RECEIVED,1113.74,INR,IN,2026-01-01,15,2026-01-16,True,43,4,0,0,5,2,1,0,0,True,False,True,True,False,False,1200,1700,1113.74,train
CB_IN_2026_08921,TXN_772505062329,ORD_1741058262,UPI,UPI_NPCI,FRAUD_UNAUTHORIZED,3269.22,INR,IN,2026-01-08,8,2026-01-16,True,6,9,0,0,10,6,2,1,1,True,True,True,False,True,False,300,800,3269.22,train
CB_IN_2026_02989,TXN_649366587490,ORD_2963505673,CARD,MASTERCARD,FRAUD_UNAUTHORIZED,2717.41,INR,IN,2026-01-07,9,2026-01-16,False,1,0,0,0,9,6,2,0,0,False,False,True,False,False,False,1200,1700,2717.41,train
CB_IN_2026_01589,TXN_252819976395,ORD_2882846329,CARD,VISA,RECON_SETTLEMENT_ERROR,1704.84,INR,IN,2026-01-08,9,2026-01-17,True,24,2,0,0,7,4,1,0,0,False,True,False,False,False,False,1200,1700,1704.84,train
CB_IN_2026_04787,TXN_774636621386,ORD_8998617596,CARD,MASTERCARD,NOT_AS_DESCRIBED,1361.95,INR,IN,2026-01-05,12,2026-01-17,False,12,3,1,0,9,6,2,0,1,True,True,True,False,True,True,1200,1700,1361.95,train
CB_IN_2026_00880,TXN_468225979862,ORD_1952342972,UPI,UPI_NPCI,ITEM_NOT_RECEIVED,1382.52,INR,IN,2026-01-10,7,2026-01-17,True,31,1,1,0,7,4,2,0,0,False,False,False,False,True,True,300,800,1382.52,train
CB_IN_2026_05135,TXN_550032593443,ORD_6079473444,UPI,UPI_NPCI,FRAUD_UNAUTHORIZED,1963.96,INR,IN,2026-01-15,2,2026-01-17,True,35,5,1,1,6,4,2,0,1,True,True,True,False,False,False,300,800,1963.96,train
CB_IN_2026_05528,TXN_959111062185,ORD_5583849259,CARD,RUPAY,NOT_AS_DESCRIBED,878.89,INR,IN,2026-01-14,3,2026-01-17,True,8,2,0,0,6,4,2,0,1,True,False,True,False,True,True,300,800,878.89,train
CB_IN_2026_02439,TXN_780508728768,ORD_4724654566,UPI,UPI_NPCI,FRAUD_UNAUTHORIZED,6933.14,INR,IN,2026-01-02,15,2026-01-17,True,9,0,0,0,9,7,2,1,0,True,True,False,False,False,False,300,800,6933.14,train
CB_IN_2026_04689,TXN_755734278284,ORD_8850530502,CARD,AMERICAN_EXPRESS,ITEM_NOT_RECEIVED,84.14,INR,IN,2026-01-01,16,2026-01-17,False,39,4,1,0,6,3,2,0,0,True,True,True,False,True,False,1200,1700,84.14,train
CB_IN_2026_01677,TXN_497100473632,ORD_9508550556,CARD,RUPAY,RECON_SETTLEMENT_ERROR,676.61,INR,IN,2026-01-14,3,2026-01-17,True,3,3,1,0,5,3,1,0,0,False,False,False,False,True,False,300,800,676.61,train
CB_IN_2026_06292,TXN_917021847486,ORD_3426601822,CARD,AMERICAN_EXPRESS,DUPLICATE_TRANSACTION,5280.14,INR,IN,2026-01-11,6,2026-01-17,False,25,7,0,0,5,3,1,0,1,True,True,True,False,True,False,1200,1700,5280.14,train
CB_IN_2026_06805,TXN_795543143047,ORD_9178393804,CARD,VISA,INCORRECT_AMOUNT,808.61,INR,IN,2026-01-13,4,2026-01-17,True,38,3,1,0,7,4,2,0,1,True,False,True,False,True,True,1200,1700,808.61,train
CB_IN_2026_08725,TXN_932826588628,ORD_7319591705,CARD,VISA,ITEM_NOT_RECEIVED,4671.95,INR,IN,2026-01-13,4,2026-01-17,True,30,3,1,1,8,6,2,0,1,True,True,False,True,True,True,1200,1700,4671.95,train
CB_IN_2026_02734,TXN_344840670259,ORD_8025754107,CARD,MASTERCARD,FRAUD_UNAUTHORIZED,2179.61,INR,IN,2026-01-16,1,2026-01-17,False,19,1,1,0,11,8,2,0,0,True,False,True,False,True,False,1200,1700,2179.61,train
CB_IN_2026_04379,TXN_123588420893,ORD_5419281937,CARD,RUPAY,FRAUD_UNAUTHORIZED,225.15,INR,IN,2026-01-04,13,2026-01-17,True,7,3,2,0,5,3,2,0,1,True,True,False,False,False,False,300,800,225.15,train
CB_IN_2026_02822,TXN_148648880456,ORD_1585029241,CARD,RUPAY,FRAUD_UNAUTHORIZED,1882.55,INR,IN,2026-01-09,9,2026-01-18,True,31,0,0,0,10,7,2,0,1,True,True,False,False,True,False,300,800,1882.55,train
CB_IN_2026_03314,TXN_362704961372,ORD_2575175941,UPI,UPI_NPCI,NOT_AS_DESCRIBED,1297.91,INR,IN,2026-01-15,3,2026-01-18,True,1,7,0,0,8,5,2,0,1,True,True,True,False,True,False,300,800,1297.91,train
CB_IN_2026_00733,TXN_446053940190,ORD_9861422518,CARD,RUPAY,RECON_SETTLEMENT_ERROR,2342.67,INR,IN,2026-01-16,2,2026-01-18,False,18,5,0,0,4,2,1,1,0,False,True,True,False,True,True,300,800,2342.67,train
CB_IN_2026_05814,TXN_571264452590,ORD_1837959779,UPI,UPI_NPCI,ITEM_NOT_RECEIVED,1684.64,INR,IN,2026-01-06,12,2026-01-18,False,23,3,0,0,8,5,2,0,0,False,False,True,False,True,False,300,800,1684.64,train
CB_IN_2026_08231,TXN_287937040856,ORD_4044572119,CARD,RUPAY,NOT_AS_DESCRIBED,10273.23,INR,IN,2026-01-17,1,2026-01-18,True,27,3,1,0,8,5,2,0,0,True,True,True,False,True,False,300,800,10273.23,train
CB_IN_2026_04864,TXN_695991635432,ORD_2364524683,UPI,UPI_NPCI,REFUND_NOT_RECEIVED,4976.67,INR,IN,2026-01-14,4,2026-01-18,False,16,5,1,0,7,5,1,0,1,True,False,True,True,True,False,300,800,4976.67,train
CB_IN_2026_07609,TXN_906906105928,ORD_4713586933,UPI,UPI_NPCI,ITEM_NOT_RECEIVED,617.57,INR,IN,2026-01-10,8,2026-01-18,True,23,3,1,0,9,7,2,0,1,True,True,True,True,False,True,300,800,617.57,train
CB_IN_2026_00068,TXN_127736051111,ORD_2986165870,UPI,UPI_NPCI,NOT_AS_DESCRIBED,1165.95,INR,IN,2026-01-13,5,2026-01-18,True,27,2,1,0,8,5,2,0,0,True,False,True,False,True,False,300,800,1165.95,train
CB_IN_2026_07032,TXN_288927606991,ORD_6048538307,CARD,RUPAY,ITEM_NOT_RECEIVED,15463.3,INR,IN,2026-01-08,11,2026-01-19,True,7,2,1,0,9,6,2,0,1,True,True,True,False,False,True,300,800,15463.3,train
CB_IN_2026_07080,TXN_828141659587,ORD_8185763694,UPI,UPI_NPCI,ITEM_NOT_RECEIVED,2023.76,INR,IN,2026-01-13,6,2026-01-19,True,35,4,0,0,6,4,2,0,0,False,True,True,False,True,False,300,800,2023.76,train
CB_IN_2026_07995,TXN_405196346996,ORD_1737424884,UPI,UPI_NPCI,RECON_SETTLEMENT_ERROR,121.61,INR,IN,2026-01-14,5,2026-01-19,False,42,4,0,0,4,2,1,0,1,True,True,False,False,False,False,300,800,121.61,train
CB_IN_2026_06662,TXN_222207243063,ORD_3201956832,UPI,UPI_NPCI,SUBSCRIPTION_CANCELED,197.55,INR,IN,2026-01-18,1,2026-01-19,True,42,2,1,0,7,4,1,0,1,True,False,True,False,False,True,300,800,197.55,train
CB_IN_2026_04989,TXN_192789523076,ORD_8632301545,CARD,VISA,SUBSCRIPTION_CANCELED,486.14,INR,IN,2026-01-06,13,2026-01-19,True,43,4,0,0,5,2,1,0,0,True,False,True,True,False,False,1200,1700,486.14,train
CB_IN_2026_05857,TXN_562346687050,ORD_1809318611,UPI,UPI_NPCI,ITEM_NOT_RECEIVED,2095.31,INR,IN,2026-01-05,14,2026-01-19,True,42,2,0,0,10,7,2,0,0,True,False,True,False,True,False,300,800,2095.31,train
CB_IN_2026_09801,TXN_646787598958,ORD_6401420822,UPI,UPI_NPCI,FRAUD_UNAUTHORIZED,17498.95,INR,IN,2026-01-14,5,2026-01-19,True,12,3,2,0,9,7,2,0,1,True,False,True,False,True,False,300,800,17498.95,train
CB_IN_2026_03327,TXN_863894876554,ORD_3294585877,CARD,RUPAY,ITEM_NOT_RECEIVED,1214.68,INR,IN,2026-01-02,17,2026-01-19,True,20,5,0,0,9,7,2,0,0,True,True,True,False,False,True,300,800,1214.68,train
CB_IN_2026_09854,TXN_195190960384,ORD_2650736475,CARD,MASTERCARD,FRAUD_UNAUTHORIZED,3384.55,INR,IN,2026-01-04,15,2026-01-19,True,35,5,1,0,10,6,2,0,1,True,False,True,False,True,True,1200,1700,3384.55,train
CB_IN_2026_04305,TXN_213062540996,ORD_5243813062,UPI,UPI_NPCI,RECON_SETTLEMENT_ERROR,368.03,INR,IN,2026-01-08,11,2026-01-19,True,31,1,0,0,5,2,1,0,1,True,True,False,False,False,True,300,800,368.03,train
CB_IN_2026_00504,TXN_568247603266,ORD_7975901682,CARD,RUPAY,DUPLICATE_TRANSACTION,898.74,INR,IN,2026-01-03,16,2026-01-19,False,43,2,0,0,7,4,1,1,1,True,True,False,False,True,True,300,800,898.74,train
CB_IN_2026_09925,TXN_974520739386,ORD_6590285260,UPI,UPI_NPCI,NOT_AS_DESCRIBED,583.75,INR,IN,2026-01-08,11,2026-01-19,True,23,3,1,0,7,5,2,1,1,True,True,False,True,False,False,300,800,583.75,train
CB_IN_2026_01981,TXN_440380470708,ORD_3100316038,CARD,VISA,FRAUD_UNAUTHORIZED,4223.72,INR,IN,2026-01-15,5,2026-01-20,True,9,0,1,0,12,8,2,0,0,True,True,False,False,True,False,1200,1700,4223.72,train
CB_IN_2026_04312,TXN_332730883944,ORD_8282722195,UPI,UPI_NPCI,RECON_SETTLEMENT_ERROR,4692.06,INR,IN,2026-01-17,3,2026-01-20,True,3,3,0,0,6,3,1,0,1,True,True,True,False,True,False,300,800,4692.06,train
CB_IN_2026_06376,TXN_366479126789,ORD_2486284999,CARD,VISA,FRAUD_UNAUTHORIZED,2442.28,INR,IN,2026-01-15,5,2026-01-20,False,21,4,2,0,10,6,2,0,0,True,True,True,False,True,True,1200,1700,2442.28,train
CB_IN_2026_08889,TXN_132454499946,ORD_8055423302,UPI,UPI_NPCI,FRAUD_UNAUTHORIZED,1551.53,INR,IN,2026-01-19,1,2026-01-20,True,33,0,1,0,7,5,2,0,0,False,False,False,False,True,False,300,800,1551.53,train
CB_IN_2026_01904,TXN_645909701675,ORD_3506559019,CARD,VISA,REFUND_NOT_RECEIVED,942.59,INR,IN,2026-01-08,12,2026-01-20,True,22,4,0,0,6,4,1,1,0,True,True,True,False,False,False,1200,1700,942.59,train
CB_IN_2026_09232,TXN_637442278214,ORD_6118853582,CARD,MASTERCARD,ITEM_NOT_RECEIVED,1976.36,INR,IN,2026-01-01,19,2026-01-20,True,22,2,3,0,10,7,2,0,1,True,True,False,False,True,True,1200,1700,1976.36,train
CB_IN_2026_00125,TXN_544591737320,ORD_3718264888,CARD,RUPAY,DUPLICATE_TRANSACTION,413.6,INR,IN,2026-01-03,17,2026-01-20,False,14,2,2,0,4,2,1,0,1,True,True,True,False,True,False,300,800,413.6,train
CB_IN_2026_02140,TXN_905954119477,ORD_4459852452,CARD,VISA,RECON_SETTLEMENT_ERROR,412.55,INR,IN,2026-01-05,15,2026-01-20,True,7,4,0,0,6,3,1,0,1,True,True,True,False,True,False,1200,1700,412.55,train
